train_loss_step,train_mcc_step,train_acc_step,train_precision_step,train_recall_step,epoch,step,val_loss_step,val_mcc_step,val_acc_step,val_precision_step,val_recall_step,val_loss_epoch,val_mcc_epoch,val_acc_epoch,val_precision_epoch,val_recall_epoch,train_loss_epoch,train_mcc_epoch,train_acc_epoch,train_precision_epoch,train_recall_epoch
5.076025485992432,0.3742629885673523,0.9383561611175537,0.47999998927116394,0.34285715222358704,0,49,,,,,,,,,,,,,,,
3.5279324054718018,0.47906264662742615,0.9589040875434875,0.47999998927116394,0.52173912525177,0,99,,,,,,,,,,,,,,,
,,,,,,0,15.803293228149414,0.23226293921470642,0.8202054500579834,0.5625,0.1651376187801361,,,,,,,,,,
,,,,,,1,8.081064224243164,0.46711379289627075,0.9075342416763306,0.75,0.34285715222358704,,,,,,,,,,
,,,,,,2,7.529317855834961,0.33045053482055664,0.9041095972061157,0.5,0.2857142984867096,,,,,,,,,,
,,,,,,3,7.180190563201904,0.414156049489975,0.9109588861465454,0.625,0.3333333432674408,,,,,,,,,,
,,,,,,4,6.624919414520264,0.3884962499141693,0.9195205569267273,0.53125,0.3469387888908386,,,,,,,,,,
,,,,,,5,5.812829494476318,0.27264493703842163,0.9246575236320496,0.3125,0.3125,,,,,,,,,,
,,,,,,6,5.343762397766113,0.37626898288726807,0.931506872177124,0.4375,0.3888888955116272,,,,,,,,,,
,,,,,,7,4.2349042892456055,0.42227792739868164,0.9452054500579834,0.40625,0.5,,,,,,,,,,
,,,,,,8,2.7933499813079834,0.48947250843048096,0.9589040875434875,0.25,1.0,,,,,,,,,,
,,,,,,9,2.7933499813079834,0.48947250843048096,0.9589040875434875,0.25,1.0,,,,,,,,,,
,,,,,,10,2.7933499813079834,0.48947250843048096,0.9589040875434875,0.25,1.0,,,,,,,,,,
,,,,,,11,2.7933499813079834,0.48947250843048096,0.9589040875434875,0.25,1.0,,,,,,,,,,
,,,,,,12,2.7933499813079834,0.48947250843048096,0.9589040875434875,0.25,1.0,,,,,,,,,,
,,,,,,13,2.7933499813079834,0.48947250843048096,0.9589040875434875,0.25,1.0,,,,,,,,,,
,,,,,,14,2.7933499813079834,0.48947250843048096,0.9589040875434875,0.25,1.0,,,,,,,,,,
,,,,,,15,2.7933499813079834,0.48947250843048096,0.9589040875434875,0.25,1.0,,,,,,,,,,
,,,,,,16,2.7933499813079834,0.48947250843048096,0.9589040875434875,0.25,1.0,,,,,,,,,,
,,,,,,17,2.7933499813079834,0.48947250843048096,0.9589040875434875,0.25,1.0,,,,,,,,,,
,,,,,,18,2.7933499813079834,0.48947250843048096,0.9589040875434875,0.25,1.0,,,,,,,,,,
,,,,,,19,2.7933499813079834,0.48947250843048096,0.9589040875434875,0.25,1.0,,,,,,,,,,
,,,,,,20,2.7933499813079834,0.48947250843048096,0.9589040875434875,0.25,1.0,,,,,,,,,,
,,,,,,21,2.7933499813079834,0.48947250843048096,0.9589040875434875,0.25,1.0,,,,,,,,,,
,,,,,,22,11.491377830505371,0.34302517771720886,0.8681507110595703,0.65625,0.24137930572032928,,,,,,,,,,
,,,,,,23,6.791986465454102,0.45822009444236755,0.9212328791618347,0.65625,0.375,,,,,,,,,,
,,,,,,24,7.908238410949707,0.35667407512664795,0.9006849527359009,0.5625,0.29032257199287415,,,,,,,,,,
,,,,,,25,6.801269054412842,0.39067262411117554,0.914383590221405,0.5625,0.3333333432674408,,,,,,,,,,
