train_loss_step,train_mcc_step,train_acc_step,train_precision_step,train_recall_step,epoch,step,val_loss_step,val_mcc_step,val_acc_step,val_precision_step,val_recall_step,val_loss_epoch,val_mcc_epoch,val_acc_epoch,val_precision_epoch,val_recall_epoch,train_loss_epoch,train_mcc_epoch,train_acc_epoch,train_precision_epoch,train_recall_epoch
0.8675370216369629,0.0,0.8125,0.8125,1.0,0,49,,,,,,,,,,,,,,,
0.3720530867576599,-0.18156826496124268,0.6875,0.7857142686843872,0.8461538553237915,0,99,,,,,,,,,,,,,,,
,,,,,,0,0.33522990345954895,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,1,0.32031404972076416,0.0,1.0,1.0,1.0,,,,,,,,,,
,,,,,,2,0.33609217405319214,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,3,0.3172066807746887,0.0,0.9375,0.9375,1.0,,,,,,,,,,
,,,,,,4,0.32710933685302734,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,5,0.33547401428222656,0.0,0.6875,0.6875,1.0,,,,,,,,,,
,,,,,,6,0.327505886554718,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,7,0.3322709798812866,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,8,0.344797283411026,0.0,0.5625,0.5625,1.0,,,,,,,,,,
,,,,,,9,0.3476799726486206,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,10,0.3476799726486206,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,11,0.3476799726486206,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,12,0.3476799726486206,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,13,0.34767991304397583,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,14,0.3476799428462982,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,15,0.3476799726486206,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,16,0.3476799428462982,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,17,0.3476799428462982,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,18,0.3476799726486206,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,19,0.34767991304397583,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,20,0.3476799428462982,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,21,0.3476799726486206,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,22,0.33231496810913086,0.0,0.9375,0.9375,1.0,,,,,,,,,,
,,,,,,23,0.3241427540779114,0.0,0.9375,0.9375,1.0,,,,,,,,,,
,,,,,,24,0.32668620347976685,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,25,0.3219701945781708,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,26,0.3240886926651001,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,27,0.3381744921207428,0.0,0.6875,0.6875,1.0,,,,,,,,,,
,,,,,,28,0.3252883553504944,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,29,0.3387507200241089,0.0,0.6875,0.6875,1.0,,,,,,,,,,
,,,,,,30,0.3476799726486206,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,31,0.3476799726486206,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,32,0.3245856463909149,0.0,1.0,1.0,1.0,,,,,,,,,,
,,,,,,33,0.3366335332393646,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,34,0.31816303730010986,0.0,0.9375,0.9375,1.0,,,,,,,,,,
,,,,,,35,0.3236236274242401,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,36,0.3318220376968384,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,37,0.3312221169471741,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,38,0.3285547196865082,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,39,0.33878621459007263,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,40,0.3283851444721222,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,41,0.32280635833740234,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,42,0.3258499801158905,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,43,0.32731276750564575,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,44,0.33320194482803345,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,45,0.32755330204963684,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,46,0.3319076895713806,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,47,0.3344825506210327,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,48,0.3172066807746887,0.0,0.9375,0.9375,1.0,,,,,,,,,,
,,,,,,49,0.3252931833267212,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,50,0.3374698758125305,0.0,0.6875,0.6875,1.0,,,,,,,,,,
,,,,,,51,0.32651612162590027,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,52,0.3334224224090576,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,53,0.33433717489242554,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,54,0.3228064179420471,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,55,0.3258500099182129,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,56,0.32731279730796814,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,57,0.33320194482803345,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,58,0.32755327224731445,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,59,0.32866281270980835,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,60,0.33609217405319214,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,61,0.3172066807746887,0.0,0.9375,0.9375,1.0,,,,,,,,,,
,,,,,,62,0.3252932131290436,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,63,0.3374699056148529,0.0,0.6875,0.6875,1.0,,,,,,,,,,
,,,,,,64,0.3265160918235779,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,65,0.3334224224090576,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,66,0.33270201086997986,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,67,0.32280638813972473,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,68,0.3258500099182129,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,69,0.32731276750564575,0.0,0.8125,0.8125,1.0,,,,,,,,,,
