train_loss_step,epoch,step,val_loss_step,val_loss_epoch,val_r2,train_loss_epoch,train_r2,test_loss_step,test_loss_epoch,test_r2
6.135547637939453,0,49,,,,,,,,
0.8534557819366455,0,99,,,,,,,,
,,0,178.4686737060547,,,,,,,
,,1,178.26170349121094,,,,,,,
,,2,178.1233367919922,,,,,,,
,,3,178.28114318847656,,,,,,,
,,4,178.2753448486328,,,,,,,
,,5,178.1726531982422,,,,,,,
,,6,178.17630004882812,,,,,,,
,,7,178.20303344726562,,,,,,,
,,8,177.91485595703125,,,,,,,
,,9,177.91485595703125,,,,,,,
,,10,177.91485595703125,,,,,,,
,,11,177.91485595703125,,,,,,,
,,12,177.91485595703125,,,,,,,
,,13,177.91485595703125,,,,,,,
,,14,177.91485595703125,,,,,,,
,,15,177.91485595703125,,,,,,,
,,16,177.91485595703125,,,,,,,
,,17,177.91485595703125,,,,,,,
,,18,177.91485595703125,,,,,,,
,,19,177.91485595703125,,,,,,,
,,20,177.91485595703125,,,,,,,
,,21,178.21273803710938,,,,,,,
,,22,178.26124572753906,,,,,,,
,,23,178.12411499023438,,,,,,,
,,24,178.2805633544922,,,,,,,
,,25,178.2752227783203,,,,,,,
,,26,178.17291259765625,,,,,,,
,,27,178.17636108398438,,,,,,,
,,28,178.25527954101562,,,,,,,
,,29,177.91485595703125,,,,,,,
,,30,177.91485595703125,,,,,,,
,,31,178.07135009765625,,,,,,,
,,32,178.22972106933594,,,,,,,
,,33,178.22756958007812,,,,,,,
,,34,178.22238159179688,,,,,,,
,,35,178.22592163085938,,,,,,,
,,36,178.17562866210938,,,,,,,
,,37,178.22872924804688,,,,,,,
,,38,178.09817504882812,,,,,,,
,,39,178.17724609375,,,,,,,
,,40,178.12413024902344,,,,,,,
,,41,178.28057861328125,,,,,,,
,,42,178.27394104003906,,,,,,,
,,43,178.17291259765625,,,,,,,
,,44,178.17636108398438,,,,,,,
,,45,178.25527954101562,,,,,,,
,,46,178.1776885986328,,,,,,,
,,47,178.1758270263672,,,,,,,
,,48,178.22158813476562,,,,,,,
,,49,178.22592163085938,,,,,,,
,,50,178.17562866210938,,,,,,,
,,51,178.22872924804688,,,,,,,
,,52,178.20375061035156,,,,,,,
,,53,178.12411499023438,,,,,,,
,,54,178.2805633544922,,,,,,,
,,55,178.27394104003906,,,,,,,
,,56,178.17291259765625,,,,,,,
,,57,178.17636108398438,,,,,,,
,,58,178.25527954101562,,,,,,,
,,59,178.17724609375,,,,,,,
,,60,178.22796630859375,,,,,,,
,,61,178.22244262695312,,,,,,,
,,62,178.17333984375,,,,,,,
,,63,178.22796630859375,,,,,,,
,,64,178.17640686035156,,,,,,,
,,65,178.2559814453125,,,,,,,
,,66,178.17503356933594,,,,,,,
,,67,178.28160095214844,,,,,,,
,,68,178.27169799804688,,,,,,,
,,69,178.17562866210938,,,,,,,
,,70,178.17620849609375,,,,,,,
,,71,178.20286560058594,,,,,,,
,,72,178.12510681152344,,,,,,,
,,73,178.28004455566406,,,,,,,
,,74,178.22579956054688,,,,,,,
,,75,178.01934814453125,,,,,,,
,,76,178.1761016845703,,,,,,,
,,77,178.0460662841797,,,,,,,
,,78,177.96693420410156,,,,,,,
,,79,178.06491088867188,,,,,,,
,0,127,,178.14663696289062,-2.127233933265432e+24,,,,,
,0,127,,,,322.7685241699219,-38173516411652.836,,,
0.6358079314231873,1,149,,,,,,,,
0.7114071846008301,1,199,,,,,,,,
0.9941403269767761,1,249,,,,,,,,
,,80,190.6788787841797,,,,,,,
,,81,190.4523162841797,,,,,,,
,,82,190.3287353515625,,,,,,,
,,83,190.47012329101562,,,,,,,
,,84,190.46463012695312,,,,,,,
,,85,190.37245178222656,,,,,,,
,,86,190.37586975097656,,,,,,,
,,87,190.40728759765625,,,,,,,
,,88,190.14202880859375,,,,,,,
,,89,190.14202880859375,,,,,,,
,,90,190.1420440673828,,,,,,,
,,91,190.14202880859375,,,,,,,
,,92,190.14202880859375,,,,,,,
,,93,190.14202880859375,,,,,,,
,,94,190.1420440673828,,,,,,,
,,95,190.14202880859375,,,,,,,
,,96,190.1420440673828,,,,,,,
,,97,190.14202880859375,,,,,,,
,,98,190.14202880859375,,,,,,,
,,99,190.14202880859375,,,,,,,
,,100,190.14202880859375,,,,,,,
,,101,190.43299865722656,,,,,,,
,,102,190.45184326171875,,,,,,,
,,103,190.32952880859375,,,,,,,
,,104,190.469482421875,,,,,,,
,,105,190.4645538330078,,,,,,,
,,106,190.3727569580078,,,,,,,
,,107,190.37594604492188,,,,,,,
,,108,190.45399475097656,,,,,,,
,,109,190.14202880859375,,,,,,,
,,110,190.14202880859375,,,,,,,
,,111,190.28211975097656,,,,,,,
,,112,190.4241485595703,,,,,,,
,,113,190.42184448242188,,,,,,,
,,114,190.41705322265625,,,,,,,
,,115,190.42037963867188,,,,,,,
,,116,190.37535095214844,,,,,,,
,,117,190.4228057861328,,,,,,,
,,118,190.3134307861328,,,,,,,
,,119,190.3771514892578,,,,,,,
,,120,190.32952880859375,,,,,,,
,,121,190.469482421875,,,,,,,
,,122,190.46304321289062,,,,,,,
,,123,190.3727569580078,,,,,,,
,,124,190.37594604492188,,,,,,,
,,125,190.45399475097656,,,,,,,
,,126,190.37762451171875,,,,,,,
,,127,190.375732421875,,,,,,,
,,128,190.416259765625,,,,,,,
,,129,190.42037963867188,,,,,,,
,,130,190.37535095214844,,,,,,,
,,131,190.4228057861328,,,,,,,
,,132,190.40818786621094,,,,,,,
,,133,190.32952880859375,,,,,,,
,,134,190.469482421875,,,,,,,
,,135,190.46304321289062,,,,,,,
,,136,190.3727569580078,,,,,,,
,,137,190.37594604492188,,,,,,,
,,138,190.45399475097656,,,,,,,
,,139,190.3771514892578,,,,,,,
,,140,190.4222412109375,,,,,,,
,,141,190.4171142578125,,,,,,,
,,142,190.3732452392578,,,,,,,
,,143,190.4221649169922,,,,,,,
,,144,190.3759765625,,,,,,,
,,145,190.4549560546875,,,,,,,
,,146,190.37474060058594,,,,,,,
,,147,190.4705352783203,,,,,,,
,,148,190.4609375,,,,,,,
,,149,190.37535095214844,,,,,,,
