train_loss_step,train_mcc_step,train_acc_step,train_precision_step,train_recall_step,epoch,step,val_loss_step,val_mcc_step,val_acc_step,val_precision_step,val_recall_step,val_loss_epoch,val_mcc_epoch,val_acc_epoch,val_precision_epoch,val_recall_epoch,train_loss_epoch,train_mcc_epoch,train_acc_epoch,train_precision_epoch,train_recall_epoch
0.5952165722846985,0.4472135901451111,0.625,1.0,0.4000000059604645,0,49,,,,,,,,,,,,,,,
,,,,,,0,0.9342368245124817,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,1,0.8941866159439087,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,2,0.8262588977813721,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,3,0.6970707178115845,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,4,0.8473252654075623,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,5,0.7084149718284607,0.0,0.5,0.0,0.0,,,,,,,,,,
,,,,,,6,0.2886272370815277,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,7,0.28888237476348877,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,8,0.28900057077407837,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,9,0.2889232635498047,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,10,0.28872328996658325,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,11,0.2886241376399994,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,12,0.2900939881801605,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,13,0.9874163866043091,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,14,0.8533310890197754,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,15,0.7185977101325989,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,16,0.7244037985801697,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,17,0.9856634140014648,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,18,0.47283807396888733,0.0,0.75,0.0,0.0,,,,,,,,,,
,,,,,,19,0.6944587230682373,0.0,0.5,0.0,0.0,,,,,,,,,,
,,,,,,20,0.7757525444030762,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,21,0.8429967164993286,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,22,0.7285016775131226,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,23,0.9651145935058594,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,24,0.7184585332870483,0.0,0.5,0.0,0.0,,,,,,,,,,
,,,,,,25,0.8749582171440125,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,26,0.8426039218902588,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,27,0.7288203835487366,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,28,0.9648972153663635,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,29,0.8759270906448364,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,30,0.8833972811698914,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,31,0.7708519697189331,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,32,0.8679386973381042,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,33,0.8596509099006653,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,34,0.8278930187225342,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,35,0.843085527420044,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,36,0.7293791770935059,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,37,0.9651429057121277,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,38,0.7753562927246094,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,39,0.8462756872177124,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,40,0.7706461548805237,0.0,0.25,0.0,0.0,,,,,,,,,,
