train_loss_step,train_acc_step,epoch,step,val_loss_step,val_acc_step,val_loss_epoch,val_acc_epoch,train_loss_epoch,train_acc_epoch
2.4991743564605713,0.0,0,49,,,,,,
2.333991527557373,0.0,0,99,,,,,,
,,,0,8.378427505493164,0.0,,,,
,,,1,5.10371732711792,0.0,,,,
,,,2,2.1014227867126465,0.0,,,,
,,,3,2.7892584800720215,0.0,,,,
,,,4,0.9093453288078308,0.0,,,,
,,,5,0.8960617184638977,0.0,,,,
,,,6,1.787994146347046,0.0,,,,
,,,7,0.4983154833316803,0.0,,,,
,,,8,0.6043693423271179,0.0,,,,
,,,9,0.6114493608474731,0.0,,,,
,,,10,0.6114494204521179,0.0,,,,
,,,11,0.6114493608474731,0.0,,,,
,,,12,0.6114493608474731,0.0,,,,
,,,13,0.6114494204521179,0.0,,,,
,,,14,0.6114493608474731,0.0,,,,
,,,15,0.6114493608474731,0.0,,,,
,,,16,0.6114493608474731,0.0,,,,
,,,17,0.6114494204521179,0.0,,,,
,,,18,0.6114494204521179,0.0,,,,
,,,19,0.6114493608474731,0.0,,,,
,,,20,0.6114493608474731,0.0,,,,
,,,21,4.077699184417725,0.0,,,,
,,,22,6.385587215423584,0.0,,,,
,,,23,1.7827035188674927,0.0,,,,
,,,24,3.013012409210205,0.0,,,,
,,,25,1.4134467840194702,0.0,,,,
,,,26,1.0097885131835938,0.0,,,,
,,,27,1.0891748666763306,0.0,,,,
,,,28,1.4212915897369385,0.0,,,,
,,,29,0.570093035697937,0.0,,,,
,,,30,0.6114493608474731,0.0,,,,
,,,31,5.479268550872803,0.0,,,,
,,,32,2.4227218627929688,0.0,,,,
,,,33,2.609767436981201,0.0,,,,
,,,34,1.7870521545410156,0.0,,,,
,,,35,0.9040719270706177,0.0,,,,
,,,36,1.072158694267273,0.0,,,,
,,,37,1.5538538694381714,0.0,,,,
,,,38,0.5362932682037354,0.0,,,,
,,,39,3.8117763996124268,0.0,,,,
,,,40,2.744269609451294,0.0,,,,
,,,41,1.8818053007125854,0.0,,,,
,,,42,0.9040719270706177,0.0,,,,
,,,43,1.072158694267273,0.0,,,,
,,,44,1.5538541078567505,0.0,,,,
,,,45,2.384449005126953,0.0,,,,
,,,46,1.1470565795898438,0.0,,,,
,,,47,3.5202102661132812,0.0,,,,
,,,48,1.1220617294311523,0.0,,,,
,,,49,0.8273870944976807,0.0,,,,
,,,50,1.0948971509933472,0.0,,,,
,,,51,1.29427170753479,0.0,,,,
,,,52,2.7588768005371094,0.0,,,,
,,,53,2.744269609451294,0.0,,,,
,,,54,1.881805419921875,0.0,,,,
,,,55,0.9040719270706177,0.0,,,,
,,,56,1.072158694267273,0.0,,,,
,,,57,1.5538541078567505,0.0,,,,
,,,58,0.619480550289154,0.0,,,,
,,,59,1.7916772365570068,0.0,,,,
,,,60,2.8336799144744873,0.0,,,,
,,,61,1.2697933912277222,0.0,,,,
,,,62,0.8246839046478271,0.0,,,,
,,,63,1.7879942655563354,0.0,,,,
,,,64,0.4983154833316803,0.0,,,,
,,,65,1.2234236001968384,0.0,,,,
,,,66,3.013012409210205,0.0,,,,
,,,67,1.4685554504394531,0.0,,,,
,,,68,0.9010703563690186,0.0,,,,
,,,69,1.0891748666763306,0.0,,,,
,,,70,1.4212915897369385,0.0,,,,
,,,71,0.9598917961120605,0.0,,,,
,,,72,2.077256917953491,0.0,,,,
,,,73,2.5950534343719482,0.0,,,,
,,,74,0.9040719866752625,0.0,,,,
,,,75,0.904830276966095,0.0,,,,
,,,76,1.3421659469604492,0.0,,,,
,,,77,0.6952298879623413,0.0,,,,
,,,78,0.7041926980018616,0.0,,,,
,,,79,0.8336716294288635,0.0,,,,
,,0,121,,,1.6560750007629395,0.0,,
,,0,121,,,,,1.7114086151123047,0.009259259259259259
