train_loss_step,train_r2_step,train_mae_step,epoch,step,val_loss_step,val_r2_step,val_mae_step,val_loss_epoch,val_r2_epoch,val_mae_epoch,train_loss_epoch,train_r2_epoch,train_mae_epoch
0.030345870730448473,-79591.27503062556,0.14225099980831146,0,49,,,,,,,,,
0.018088970574002754,-49248.399409925485,0.10362628847360611,0,99,,,,,,,,,
,,,,0,0.009524577333654916,-36640.418443824296,0.0717264711856842,,,,,,
,,,,1,0.00760519838149794,-45139.35216330262,0.06979669630527496,,,,,,
,,,,2,0.007608695425635639,-18605.627611195927,0.06982018053531647,,,,,,
,,,,3,0.007605241699384752,-23349.172016919787,0.06991112232208252,,,,,,
,,,,4,0.00769484719935368,-20933.558154148763,0.07022003829479218,,,,,,
,,,,5,0.008013782081434833,-21041.587443827273,0.07146327197551727,,,,,,
,,,,6,0.00833109870120418,-22064.162972464303,0.07112062722444534,,,,,,
,,,,7,0.010226201927521517,-25369.572823633007,0.07410304993391037,,,,,,
,,,,8,0.00746407933945266,0.0,0.0690654069185257,,,,,,
,,,,9,0.007458815918678871,0.0,0.06901749968528748,,,,,,
,,,,10,0.007468953886306483,0.0,0.06910146027803421,,,,,,
,,,,11,0.007463716129259336,0.0,0.06905574351549149,,,,,,
,,,,12,0.007457076435200034,0.0,0.06900133937597275,,,,,,
,,,,13,0.007464968665168081,0.0,0.06906463950872421,,,,,,
,,,,14,0.007456023755949753,0.0,0.06899863481521606,,,,,,
,,,,15,0.007459103946590545,0.0,0.06901553273200989,,,,,,
,,,,16,0.0074611586872001,0.0,0.06903810054063797,,,,,,
,,,,17,0.007459619486618001,0.0,0.06902602314949036,,,,,,
,,,,18,0.007462561402105647,0.0,0.06904874742031097,,,,,,
,,,,19,0.0074554472146027674,0.0,0.0689903274178505,,,,,,
,,,,20,0.007459985756394388,0.0,0.0690239816904068,,,,,,
,,,,21,0.010606826460134722,-27591.47782812264,0.07237860560417175,,,,,,
,,,,22,0.007666752073077367,-38356.54481027363,0.0688062459230423,,,,,,
,,,,23,0.007585567413216979,-28615.895047557802,0.07038471847772598,,,,,,
,,,,24,0.0076937872289164705,-23261.919559782902,0.07029252499341965,,,,,,
,,,,25,0.007492004689512002,-23356.441540817003,0.0694061815738678,,,,,,
,,,,26,0.008180874056184258,-22786.662801291637,0.0717552900314331,,,,,,
,,,,27,0.00828504387338525,-22863.89713686506,0.07112223654985428,,,,,,
,,,,28,0.009355072188402178,-29873.313904160183,0.07230773568153381,,,,,,
,,,,29,0.008416472087446829,-34964.71322410391,0.07138000428676605,,,,,,
,,,,30,0.007455187063153427,0.0,0.06898537278175354,,,,,,
,,,,31,0.007629780840186918,-16971.151434949945,0.06919518858194351,,,,,,
,,,,32,0.0076569064389725335,-47928.48486462911,0.07036300748586655,,,,,,
,,,,33,0.007596521407418853,-17764.547394995527,0.06942147016525269,,,,,,
,,,,34,0.007489282772974716,-20745.88040177351,0.06968330591917038,,,,,,
,,,,35,0.007918822251832115,-17732.916744040125,0.07103773951530457,,,,,,
,,,,36,0.007482355157636677,-21430.93508088581,0.06951606273651123,,,,,,
,,,,37,0.010150865791952969,-27989.31693894288,0.07385046780109406,,,,,,
,,,,38,0.008429368315718166,-35059.13063381875,0.07148560136556625,,,,,,
,,,,39,0.00748369807749862,-22291.274075443343,0.06943201273679733,,,,,,
,,,,40,0.007610534718135731,-18609.438951113243,0.06983708590269089,,,,,,
,,,,41,0.007606016935872165,-23351.74876034153,0.06992737948894501,,,,,,
,,,,42,0.007598699767342981,-17504.855699529024,0.06998319923877716,,,,,,
,,,,43,0.007748772027290696,-19702.285955095187,0.07016030699014664,,,,,,
,,,,44,0.009925339794763288,-24072.79688573017,0.07313410937786102,,,,,,
,,,,45,0.008691098984249596,-27100.427385147774,0.07258689403533936,,,,,,
,,,,46,0.007635061558971887,-28654.752096430067,0.07055789232254028,,,,,,
,,,,47,0.007607790859897149,-18927.947678449997,0.06936420500278473,,,,,,
,,,,48,0.007484340808940757,-21471.75991870516,0.06979764997959137,,,,,,
,,,,49,0.007911531729697425,-17718.167973767668,0.07098796218633652,,,,,,
,,,,50,0.0074780415297268305,-21418.052400114964,0.06948811560869217,,,,,,
,,,,51,0.010154182456199102,-27997.009624437545,0.07387498021125793,,,,,,
,,,,52,0.00840592010806283,-22550.719007956846,0.07140713185071945,,,,,,
,,,,53,0.007585736767028253,-23610.906225689338,0.07029137015342712,,,,,,
,,,,54,0.007688527195191231,-23247.122815122413,0.07026112079620361,,,,,,
,,,,55,0.007320788651583575,-17520.197805989323,0.06885114312171936,,,,,,
,,,,56,0.00807205086124877,-21488.286302752622,0.07167559862136841,,,,,,
,,,,57,0.00832610889070708,-22049.25417261629,0.07107660174369812,,,,,,
,,,,58,0.01022333116704068,-25352.542599408745,0.0740811750292778,,,,,,
,,,,59,0.007647309835377502,-22165.858604229405,0.07055871188640594,,,,,,
,,,,60,0.007601274377829625,-17772.69291891356,0.06947018206119537,,,,,,
,,,,61,0.007488783917605873,-20742.007940214047,0.06967901438474655,,,,,,
,,,,62,0.007921790845654635,-17747.672788793752,0.07107091695070267,,,,,,
,,,,63,0.007474129157067325,-21412.442593943342,0.06945488601922989,,,,,,
,,,,64,0.010146471809625971,-27976.56819263262,0.0738130435347557,,,,,,
,,,,65,0.008421943813828167,-35004.022779880936,0.07142065465450287,,,,,,
,,,,66,0.007586607833087719,-23616.6531784971,0.07030079513788223,,,,,,
,,,,67,0.0076922763854870265,-23252.262102666165,0.07029266655445099,,,,,,
,,,,68,0.007323246571553335,-17522.97315598413,0.0688723623752594,,,,,,
,,,,69,0.008070442844970861,-21488.19020236826,0.07166317850351334,,,,,,
,,,,70,0.00832520880747686,-22050.248042500898,0.07106301188468933,,,,,,
,,,,71,0.0102230075664518,-25353.333484015966,0.07408225536346436,,,,,,
,,,,72,0.007651236014266585,-22176.035381105798,0.07058346271514893,,,,,,
,,,,73,0.007600584590187525,-17773.579520420637,0.06945888698101044,,,,,,
,,,,74,0.007856053247431877,-22043.65070140687,0.07118993997573853,,,,,,
,,,,75,0.008182899473994847,-22807.75597284749,0.07177772372961044,,,,,,
,,,,76,0.007677301398189036,-25022.45769638006,0.07026772946119308,,,,,,
,,,,77,0.009027750425352535,-68391.7172975014,0.070819191634655,,,,,,
,,,,78,0.007608348977528955,-59712.57874900844,0.06961316615343094,,,,,,
,,,,79,0.007459928398464265,0.0,0.06902552396059036,,,,,,
,,,,80,0.007477353873123495,0.0,0.0691656693816185,,,,,,
,,,0,123,,,,0.00802454024348794,-20485.825200167434,0.07046975940465927,,,
,,,0,123,,,,,,,0.05989414721574126,-220647.4186357228,0.172151580452919
0.01756630942360182,-45286.17211047859,0.10525843501091003,1,149,,,,,,,,,
0.018415373708738924,-59960.955713492076,0.10687877982854843,1,199,,,,,,,,,
,,,,81,0.011178579809438646,-27572.20671896523,0.0823797881603241,,,,,,
,,,,82,0.009863649186604078,-48557.019248937126,0.08024819195270538,,,,,,
,,,,83,0.010142028488711955,-18600.618425352077,0.0809144675731659,,,,,,
,,,,84,0.010043380218493074,-24394.77141861636,0.08056605607271194,,,,,,
,,,,85,0.010362835486495473,-20520.805332654098,0.08099959045648575,,,,,,
,,,,86,0.010587004604208384,-21772.279875408327,0.08193563669919968,,,,,,
,,,,87,0.010214258812579022,-22483.68443628497,0.08041971176862717,,,,,,
,,,,88,0.012530503354077984,-28130.692363538943,0.08371297270059586,,,,,,
,,,,89,0.009880551491073974,0.0,0.0799591988325119,,,,,,
,,,,90,0.00987643790721826,0.0,0.07995525747537613,,,,,,
,,,,91,0.009880898809475716,0.0,0.07995820790529251,,,,,,
,,,,92,0.009878352074015249,0.0,0.07995482534170151,,,,,,
,,,,93,0.009876546340013462,0.0,0.07995886355638504,,,,,,
,,,,94,0.009881079454505115,0.0,0.07996515184640884,,,,,,
,,,,95,0.009877328993921151,0.0,0.07996215671300888,,,,,,
,,,,96,0.009876394250582928,0.0,0.07995641976594925,,,,,,
,,,,97,0.009879016517350108,0.0,0.0799647718667984,,,,,,
,,,,98,0.00987676097962611,0.0,0.0799553170800209,,,,,,
,,,,99,0.009876938485434241,0.0,0.07995205372571945,,,,,,
,,,,100,0.009875785994932596,0.0,0.07995890825986862,,,,,,
,,,,101,0.00987727057808794,0.0,0.07995855063199997,,,,,,
,,,,102,0.012168718273183967,-35881.038255257095,0.08286687731742859,,,,,,
,,,,103,0.009992102132067924,-43877.58108354601,0.08134935051202774,,,,,,
,,,,104,0.010107935746492413,-32772.031637114706,0.08054714649915695,,,,,,
,,,,105,0.010059285723448375,-24915.4620544096,0.08049363642930984,,,,,,
