train_loss_step,train_r2_step,train_mae_step,epoch,step,val_loss_step,val_r2_step,val_mae_step
0.0323509417915043,-122817.04273361382,0.14415664970874786,0,49,,,
0.01686007451156557,-58882.73500462896,0.10416170954704285,0,99,,,
,,,,0,0.006537467533093332,-58.19151529471652,0.06387321650981903
,,,,1,0.006644616820745554,-25559.844589700857,0.06485148519277573
,,,,2,0.006539966132354179,-11665.13626620429,0.06356368213891983
,,,,3,0.006511371000912028,-26119.148181084835,0.06443995237350464
,,,,4,0.006562659186819048,-22249.24732922219,0.06443844735622406
,,,,5,0.006628664844888012,-17140.632071235173,0.06381931900978088
,,,,6,0.006580191562625612,-15799.378819619144,0.06457644701004028
,,,,7,0.007920901578468888,-22632.17871848485,0.06469163298606873
,,,,8,0.006466815563610687,0.0,0.061329782009124756
,,,,9,0.006481534658594445,0.0,0.06140719726681709
,,,,10,0.006481140634674114,0.0,0.06140166521072388
,,,,11,0.006487930601691665,0.0,0.061441488564014435
,,,,12,0.006440432546213089,0.0,0.0611971914768219
,,,,13,0.006506573644904073,0.0,0.06153564527630806
,,,,14,0.006417863294490392,0.0,0.06107833608984947
,,,,15,0.006473793072200166,0.0,0.061367977410554886
,,,,16,0.006465009874939281,0.0,0.06132040172815323
,,,,17,0.006434956923696152,0.0,0.06116888299584389
,,,,18,0.006475883275108507,0.0,0.06137678399682045
,,,,19,0.006464865712161562,0.0,0.061321765184402466
,,,,20,0.006471984494084588,0.0,0.06135544553399086
,,,,21,0.0064773429854874665,0.0,0.06138550490140915
,,,,22,0.00646912639800851,-11300.41146739501,0.06242241710424423
,,,,23,0.006624792109200319,-43.78272576944207,0.06504428386688232
,,,,24,0.006621752102133663,-11537.068181268973,0.06355571746826172
,,,,25,0.006451450163121267,-26953.115298851808,0.06396187841892242
,,,,26,0.006519209143421478,-22429.77032918691,0.0642358735203743
,,,,27,0.006635076073278006,-16785.387273534958,0.06396237015724182
,,,,28,0.0065620748053400796,-15752.503588669539,0.06418674439191818
,,,,29,0.008000364078560581,-3.5626386245478456,0.06610133498907089
,,,,30,0.006446328773071966,0.0,0.06122249364852905
,,,,31,0.006497784309900435,0.0,0.06148681044578552
,,,,32,0.006516636988824032,-10419.32661756239,0.06277671456336975
,,,,33,0.00663692400657566,-17504.394876153976,0.06459520012140274
,,,,34,0.006480233467844756,-15940.415140985226,0.0636742040514946
,,,,35,0.006513492417498698,-12499.394864319287,0.06371017545461655
,,,,36,0.0065617065588261785,-17757.929747275604,0.06406538188457489
,,,,37,0.0066240471546971874,-21434.829660046194,0.06424197554588318
,,,,38,0.006696879661354809,-34062.445616540244,0.06533030420541763
,,,,39,0.007845895470855634,-18140.97948594037,0.06376289576292038
,,,,40,0.006591911020176546,-14442.69553738595,0.0640527680516243
,,,,41,0.006529549697140742,-11655.681744569833,0.06351238489151001
,,,,42,0.006521436371683679,-26142.70357150339,0.06449909508228302
,,,,43,0.006572744140404878,-17784.114798125214,0.06411820650100708
,,,,44,0.006628177911848558,-17138.166990102935,0.06381794810295105
,,,,45,0.0066751522916005685,-19766.131526814886,0.06495459377765656
,,,,46,0.007892480352211259,-15836.932665058399,0.06482496112585068
,,,,47,0.006613026455410826,-16096.304246013908,0.06344828009605408
,,,,48,0.0064406158255961255,-15904.002200133173,0.06347483396530151
,,,,49,0.0065273222902324035,-18325.397232283707,0.06422963738441467
,,,,50,0.00661947802267743,-16760.1720341354,0.06404455006122589
,,,,51,0.006570325997544785,-15730.516658254053,0.06399720907211304
,,,,52,0.006689588236752036,-3.8943797489036363,0.0655408501625061
,,,,53,0.007879640496115132,-12534.140188021192,0.0643979087471962
,,,,54,0.006517873566383045,-11313.615852798359,0.06289348006248474
,,,,55,0.006523013359766222,-26142.943377314554,0.06449644267559052
,,,,56,0.006581312071358278,-17801.246281659187,0.06415870040655136
,,,,57,0.006625849617689928,-17134.047397191316,0.06381074339151382
,,,,58,0.006663551188155293,-19723.61570137464,0.06489468365907669
,,,,59,0.007870390897998368,-15773.351613984278,0.06469541043043137
,,,,60,0.006608835317914896,-13268.25106909165,0.06362515687942505
,,,,61,0.006504692824053641,-27301.676926961773,0.06416990607976913
,,,,62,0.006521302221709197,-18303.44636719729,0.06418934464454651
,,,,63,0.006621434074110688,-16766.597951612213,0.06405641883611679
,,,,64,0.006572209854399099,-15733.58956001904,0.06400403380393982
,,,,65,0.006689637750913372,-3.8944079633847504,0.06553393602371216
,,,,66,0.007901415356914946,-11605.266530428436,0.06453507393598557
,,,,67,0.006535716213128594,-11661.14613197277,0.06355056166648865
,,,,68,0.006524619201726808,-26139.10109295347,0.06450565904378891
,,,,69,0.006577789134717081,-17794.72779709296,0.06414380669593811
,,,,70,0.006629922568356213,-17147.52462450726,0.06383233517408371
,,,,71,0.006666736651320214,-19732.065160296854,0.0649113729596138
,,,,72,0.007862627664928401,-15752.627879713908,0.06465175002813339
