train_loss_step,train_acc_step,epoch,step,val_loss_step,val_acc_step,val_loss_epoch,val_acc_epoch,train_loss_epoch,train_acc_epoch,test_loss_step,test_acc_step,test_loss_epoch,test_acc_epoch
1.1562672853469849,0.0,0,49,,,,,,,,,,
2.2986743450164795,0.0,0,99,,,,,,,,,,
,,,0,16.898393630981445,0.0,,,,,,,,
,,,1,9.089049339294434,0.0,,,,,,,,
,,,2,5.456528663635254,0.0,,,,,,,,
,,,3,8.282974243164062,0.0,,,,,,,,
,,,4,4.237898826599121,0.0,,,,,,,,
,,,5,2.0650792121887207,0.0,,,,,,,,
,,,6,2.168658494949341,0.0,,,,,,,,
,,,7,1.2194427251815796,0.0,,,,,,,,
,,,8,1.2152271270751953,0.0,,,,,,,,
,,,9,1.2152271270751953,0.0,,,,,,,,
,,,10,1.2152271270751953,0.0,,,,,,,,
,,,11,1.2152271270751953,0.0,,,,,,,,
,,,12,1.2152271270751953,0.0,,,,,,,,
,,,13,1.2152271270751953,0.0,,,,,,,,
,,,14,1.2152271270751953,0.0,,,,,,,,
,,,15,1.2152271270751953,0.0,,,,,,,,
,,,16,1.2152271270751953,0.0,,,,,,,,
,,,17,1.2152271270751953,0.0,,,,,,,,
,,,18,1.2152271270751953,0.0,,,,,,,,
,,,19,1.2152271270751953,0.0,,,,,,,,
,,,20,3.720388889312744,0.0,,,,,,,,
,,,21,14.6326904296875,0.0,,,,,,,,
,,,22,2.4460277557373047,0.0,,,,,,,,
,,,23,10.397336959838867,0.0,,,,,,,,
,,,24,4.055323600769043,0.0,,,,,,,,
,,,25,3.005533218383789,0.0,,,,,,,,
,,,26,2.277913808822632,0.0,,,,,,,,
,,,27,1.9035465717315674,0.0,,,,,,,,
,,,28,1.2094999551773071,0.0,,,,,,,,
,,,29,1.2152271270751953,0.0,,,,,,,,
,,,30,10.482078552246094,0.0,,,,,,,,
,,,31,1.9119198322296143,0.0,,,,,,,,
,,,32,11.660082817077637,0.0,,,,,,,,
,,,33,3.378420829772949,0.0,,,,,,,,
,,,34,2.886141061782837,0.0,,,,,,,,
,,,35,1.8272442817687988,0.0,,,,,,,,
,,,36,1.8944038152694702,0.0,,,,,,,,
,,,37,7.0850629806518555,0.0,,,,,,,,
,,,38,1.9119198322296143,0.0,,,,,,,,
,,,39,11.660082817077637,0.0,,,,,,,,
,,,40,3.378420829772949,0.0,,,,,,,,
,,,41,2.886141061782837,0.0,,,,,,,,
,,,42,1.8272442817687988,0.0,,,,,,,,
,,,43,1.8944038152694702,0.0,,,,,,,,
,,,44,4.7983078956604,0.0,,,,,,,,
,,,45,8.566417694091797,0.0,,,,,,,,
,,,46,5.742900848388672,0.0,,,,,,,,
,,,47,3.1238226890563965,0.0,,,,,,,,
,,,48,2.3153321743011475,0.0,,,,,,,,
,,,49,1.9035465717315674,0.0,,,,,,,,
,,,50,4.3864898681640625,0.0,,,,,,,,
,,,51,7.563669204711914,0.0,,,,,,,,
,,,52,6.966465473175049,0.0,,,,,,,,
,,,53,3.2842965126037598,0.0,,,,,,,,
,,,54,2.0650792121887207,0.0,,,,,,,,
,,,55,2.178974151611328,0.0,,,,,,,,
,,,56,1.858499526977539,0.0,,,,,,,,
,,,57,5.456528663635254,0.0,,,,,,,,
,,,58,8.282974243164062,0.0,,,,,,,,
,,,59,4.250266075134277,0.0,,,,,,,,
,,,60,2.0650792121887207,0.0,,,,,,,,
,,,61,2.168658494949341,0.0,,,,,,,,
,,,62,1.7535508871078491,0.0,,,,,,,,
,,,63,1.9119198322296143,0.0,,,,,,,,
,,,64,11.660082817077637,0.0,,,,,,,,
,,,65,3.378420829772949,0.0,,,,,,,,
,,,66,2.886141061782837,0.0,,,,,,,,
,,,67,1.8272442817687988,0.0,,,,,,,,
,,,68,1.8944038152694702,0.0,,,,,,,,
,,,69,2.4460277557373047,0.0,,,,,,,,
,,,70,8.97588062286377,0.0,,,,,,,,
,,,71,3.6729819774627686,0.0,,,,,,,,
,,,72,2.5362651348114014,0.0,,,,,,,,
,,,73,1.7850468158721924,0.0,,,,,,,,
,,,74,1.2147014141082764,0.0,,,,,,,,
,,,75,1.3709349632263184,0.0,,,,,,,,
,,,76,1.5488488674163818,0.0,,,,,,,,
,,0,126,,,3.8881499767303467,0.0,,,,,,
,,0,126,,,,,3.720763921737671,0.0039603960396039604,,,,
1.766306757926941,0.0,1,149,,,,,,,,,,
3.294595718383789,0.0,1,199,,,,,,,,,,
3.535583257675171,0.0,1,249,,,,,,,,,,
,,,77,16.63608741760254,0.0,,,,,,,,
,,,78,8.564541816711426,0.0,,,,,,,,
,,,79,5.313704490661621,0.0,,,,,,,,
,,,80,8.313375473022461,0.0,,,,,,,,
,,,81,4.248448371887207,0.0,,,,,,,,
,,,82,2.008781909942627,0.0,,,,,,,,
,,,83,1.9615970849990845,0.0,,,,,,,,
,,,84,1.1875696182250977,0.0,,,,,,,,
,,,85,1.1399333477020264,0.0,,,,,,,,
,,,86,1.1399333477020264,0.0,,,,,,,,
,,,87,1.1399333477020264,0.0,,,,,,,,
,,,88,1.1399333477020264,0.0,,,,,,,,
,,,89,1.1399333477020264,0.0,,,,,,,,
,,,90,1.1399333477020264,0.0,,,,,,,,
,,,91,1.1399333477020264,0.0,,,,,,,,
,,,92,1.1399333477020264,0.0,,,,,,,,
,,,93,1.1399333477020264,0.0,,,,,,,,
,,,94,1.1399333477020264,0.0,,,,,,,,
,,,95,1.1399333477020264,0.0,,,,,,,,
,,,96,1.1399333477020264,0.0,,,,,,,,
,,,97,3.670499086380005,0.0,,,,,,,,
,,,98,14.019197463989258,0.0,,,,,,,,
,,,99,2.1411447525024414,0.0,,,,,,,,
,,,100,10.390119552612305,0.0,,,,,,,,
,,,101,4.0843586921691895,0.0,,,,,,,,
,,,102,2.9854607582092285,0.0,,,,,,,,
,,,103,2.140181303024292,0.0,,,,,,,,
,,,104,1.8042500019073486,0.0,,,,,,,,
,,,105,1.1398813724517822,0.0,,,,,,,,
,,,106,1.1399333477020264,0.0,,,,,,,,
,,,107,9.956866264343262,0.0,,,,,,,,
,,,108,1.6741994619369507,0.0,,,,,,,,
,,,109,11.675106048583984,0.0,,,,,,,,
