train_loss_step,train_mcc_step,train_acc_step,train_precision_step,train_recall_step,epoch,step,val_loss_step,val_mcc_step,val_acc_step,val_precision_step,val_recall_step,val_loss_epoch,val_mcc_epoch,val_acc_epoch,val_precision_epoch,val_recall_epoch,train_loss_epoch,train_mcc_epoch,train_acc_epoch,train_precision_epoch,train_recall_epoch
25.0,0.0,0.75,0.75,1.0,0,49,,,,,,,,,,,,,,,
25.0,0.0,0.75,0.75,1.0,0,99,,,,,,,,,,,,,,,
,,,,,,0,31.25,0.0,0.6875,0.6875,1.0,,,,,,,,,,
,,,,,,1,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,
,,,,,,2,25.0,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,3,6.25,0.0,0.9375,0.9375,1.0,,,,,,,,,,
,,,,,,4,12.5,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,5,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,6,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,7,25.0,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,8,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,9,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,10,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,11,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,12,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,13,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,14,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,15,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,16,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,17,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,18,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,19,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,20,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,21,25.0,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,22,6.25,0.0,0.9375,0.9375,1.0,,,,,,,,,,
,,,,,,23,25.0,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,24,6.25,0.0,0.9375,0.9375,1.0,,,,,,,,,,
,,,,,,25,12.5,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,26,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,27,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,28,25.0,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,29,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,30,43.75,0.0,0.5625,0.5625,1.0,,,,,,,,,,
,,,,,,31,6.25,0.0,0.9375,0.9375,1.0,,,,,,,,,,
,,,,,,32,25.0,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,33,6.25,0.0,0.9375,0.9375,1.0,,,,,,,,,,
,,,,,,34,12.5,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,35,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,36,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,37,25.0,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,38,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,39,25.0,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,40,6.25,0.0,0.9375,0.9375,1.0,,,,,,,,,,
,,,,,,41,12.5,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,42,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,43,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,44,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,45,12.5,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,46,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,47,12.5,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,48,12.5,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,49,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,50,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,51,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,52,25.0,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,53,6.25,0.0,0.9375,0.9375,1.0,,,,,,,,,,
,,,,,,54,12.5,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,55,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,56,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,57,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,58,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,59,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,60,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,61,12.5,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,62,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,63,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,64,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,65,25.0,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,66,6.25,0.0,0.9375,0.9375,1.0,,,,,,,,,,
,,,,,,67,12.5,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,68,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,69,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,70,25.0,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,71,25.0,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,72,12.5,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,73,12.5,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,74,31.25,0.0,0.6875,0.6875,1.0,,,,,,,,,,
,,,,,,75,25.0,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,76,37.5,0.0,0.625,0.625,1.0,,,,,,,,,,
,,,,,,77,37.5,0.0,0.625,0.625,1.0,,,,,,,,,,
,,,,,,78,43.75,0.0,0.5625,0.5625,1.0,,,,,,,,,,
,,,,,,79,25.0,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,0,122,,,,,,24.290220260620117,0.0,0.7570977807044983,0.7570977807044983,1.0,,,,,
,,,,,0,122,,,,,,,,,,,24.192785263061523,-0.00038714674883522093,0.7535569071769714,0.7569686770439148,0.9953542351722717
31.25,0.0,0.6875,0.6875,1.0,1,149,,,,,,,,,,,,,,,
25.0,0.0,0.75,0.75,1.0,1,199,,,,,,,,,,,,,,,
,,,,,,80,31.25,0.0,0.6875,0.6875,1.0,,,,,,,,,,
,,,,,,81,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,
,,,,,,82,25.0,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,83,6.25,0.0,0.9375,0.9375,1.0,,,,,,,,,,
,,,,,,84,12.5,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,85,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,86,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,87,25.0,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,88,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,89,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,90,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,91,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,92,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,93,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,94,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,95,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,96,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,97,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,98,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,99,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,100,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,101,25.0,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,102,6.25,0.0,0.9375,0.9375,1.0,,,,,,,,,,
,,,,,,103,25.0,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,104,6.25,0.0,0.9375,0.9375,1.0,,,,,,,,,,
,,,,,,105,12.5,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,106,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,107,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,108,25.0,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,109,50.0,0.0,0.5,0.5,1.0,,,,,,,,,,
,,,,,,110,43.75,0.0,0.5625,0.5625,1.0,,,,,,,,,,
,,,,,,111,6.25,0.0,0.9375,0.9375,1.0,,,,,,,,,,
,,,,,,112,25.0,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,113,6.25,0.0,0.9375,0.9375,1.0,,,,,,,,,,
,,,,,,114,12.5,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,115,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,116,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,117,25.0,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,118,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,119,25.0,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,120,6.25,0.0,0.9375,0.9375,1.0,,,,,,,,,,
,,,,,,121,12.5,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,122,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,123,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,124,18.75,0.0,0.8125,0.8125,1.0,,,,,,,,,,
,,,,,,125,12.5,0.0,0.875,0.875,1.0,,,,,,,,,,
