train_loss_step,train_acc_step,epoch,step,val_loss_step,val_acc_step,val_loss_epoch,val_acc_epoch,train_loss_epoch,train_acc_epoch
5.431264877319336,0.0,0,49,,,,,,
3.873170852661133,0.0,0,99,,,,,,
,,,0,19.02128791809082,0.0,,,,
,,,1,11.854514122009277,0.0,,,,
,,,2,6.388402938842773,0.0,,,,
,,,3,10.009835243225098,0.0,,,,
,,,4,5.111710548400879,0.0,,,,
,,,5,4.329273700714111,0.0,,,,
,,,6,3.9053101539611816,0.0,,,,
,,,7,2.4432120323181152,0.0,,,,
,,,8,2.2368314266204834,0.0,,,,
,,,9,2.2368314266204834,0.0,,,,
,,,10,2.2368314266204834,0.0,,,,
,,,11,2.2368314266204834,0.0,,,,
,,,12,2.2368314266204834,0.0,,,,
,,,13,2.2368314266204834,0.0,,,,
,,,14,2.2368314266204834,0.0,,,,
,,,15,2.2368314266204834,0.0,,,,
,,,16,2.2368314266204834,0.0,,,,
,,,17,2.2368314266204834,0.0,,,,
,,,18,2.2368314266204834,0.0,,,,
,,,19,2.2368314266204834,0.0,,,,
,,,20,2.2368314266204834,0.0,,,,
,,,21,12.726446151733398,0.0,,,,
,,,22,11.854514122009277,0.0,,,,
,,,23,6.388402938842773,0.0,,,,
,,,24,10.009835243225098,0.0,,,,
,,,25,5.111710548400879,0.0,,,,
,,,26,4.329273700714111,0.0,,,,
,,,27,3.9053101539611816,0.0,,,,
,,,28,2.4432120323181152,0.0,,,,
,,,29,2.2368314266204834,0.0,,,,
,,,30,2.2368314266204834,0.0,,,,
,,,31,16.452499389648438,0.0,,,,
,,,32,2.6300625801086426,0.0,,,,
,,,33,12.383662223815918,0.0,,,,
,,,34,5.273856163024902,0.0,,,,
,,,35,4.756996154785156,0.0,,,,
,,,36,3.767443895339966,0.0,,,,
,,,37,3.5310609340667725,0.0,,,,
,,,38,10.2369966506958,0.0,,,,
,,,39,5.1577467918396,0.0,,,,
,,,40,10.504939079284668,0.0,,,,
,,,41,6.687027931213379,0.0,,,,
,,,42,4.835873126983643,0.0,,,,
,,,43,4.063321590423584,0.0,,,,
,,,44,4.080224514007568,0.0,,,,
,,,45,7.483238697052002,0.0,,,,
,,,46,2.6300625801086426,0.0,,,,
,,,47,12.383662223815918,0.0,,,,
,,,48,5.273856163024902,0.0,,,,
,,,49,4.756996154785156,0.0,,,,
,,,50,3.767443895339966,0.0,,,,
,,,51,3.5310609340667725,0.0,,,,
,,,52,8.137624740600586,0.0,,,,
,,,53,7.509790420532227,0.0,,,,
,,,54,8.73422908782959,0.0,,,,
,,,55,5.981034278869629,0.0,,,,
,,,56,4.063321590423584,0.0,,,,
,,,57,4.322471618652344,0.0,,,,
,,,58,4.666382312774658,0.0,,,,
,,,59,2.6300625801086426,0.0,,,,
,,,60,10.504939079284668,0.0,,,,
,,,61,6.963118553161621,0.0,,,,
,,,62,4.749242782592773,0.0,,,,
,,,63,3.9646573066711426,0.0,,,,
,,,64,3.631929636001587,0.0,,,,
,,,65,5.462145805358887,0.0,,,,
,,,66,7.509790420532227,0.0,,,,
,,,67,8.73422908782959,0.0,,,,
,,,68,5.981034278869629,0.0,,,,
,,,69,4.063321590423584,0.0,,,,
,,,70,4.322471618652344,0.0,,,,
,,,71,4.666382312774658,0.0,,,,
,,,72,2.6300625801086426,0.0,,,,
,,,73,11.955007553100586,0.0,,,,
,,,74,4.592698097229004,0.0,,,,
,,,75,3.204674005508423,0.0,,,,
,,,76,3.06562876701355,0.0,,,,
,,,77,5.237795829772949,0.0,,,,
,,,78,2.4262917041778564,0.0,,,,
,,,79,2.229907512664795,0.0,,,,
,,,80,2.314337968826294,0.0,,,,
,,0,124,,,5.488954544067383,0.0,,
,,0,124,,,,,5.1023945808410645,0.0
8.092730522155762,0.0,1,149,,,,,,
4.462940692901611,0.0,1,199,,,,,,
1.2285358905792236,0.0,1,249,,,,,,
,,,81,18.58403968811035,0.0,,,,
,,,82,11.333477020263672,0.0,,,,
,,,83,6.165698528289795,0.0,,,,
,,,84,9.668131828308105,0.0,,,,
,,,85,4.854562759399414,0.0,,,,
,,,86,4.204626560211182,0.0,,,,
,,,87,3.600813627243042,0.0,,,,
,,,88,2.2969369888305664,0.0,,,,
,,,89,2.3845059871673584,0.0,,,,
,,,90,2.3845059871673584,0.0,,,,
,,,91,2.3845059871673584,0.0,,,,
,,,92,2.3845059871673584,0.0,,,,
,,,93,2.3845059871673584,0.0,,,,
,,,94,2.3845059871673584,0.0,,,,
,,,95,2.3845057487487793,0.0,,,,
,,,96,2.3845059871673584,0.0,,,,
,,,97,2.3845059871673584,0.0,,,,
,,,98,2.3845059871673584,0.0,,,,
,,,99,2.3845059871673584,0.0,,,,
,,,100,2.3845059871673584,0.0,,,,
,,,101,2.3845059871673584,0.0,,,,
,,,102,12.432173728942871,0.0,,,,
,,,103,11.333477020263672,0.0,,,,
,,,104,6.165698528289795,0.0,,,,
,,,105,9.668131828308105,0.0,,,,
,,,106,4.854562759399414,0.0,,,,
,,,107,4.204626560211182,0.0,,,,
,,,108,3.600813627243042,0.0,,,,
,,,109,2.2969369888305664,0.0,,,,
,,,110,2.3845059871673584,0.0,,,,
,,,111,2.3845059871673584,0.0,,,,
,,,112,15.901662826538086,0.0,,,,
,,,113,2.35151743888855,0.0,,,,
,,,114,12.043883323669434,0.0,,,,
,,,115,4.982952117919922,0.0,,,,
,,,116,4.606088638305664,0.0,,,,
,,,117,3.520197629928589,0.0,,,,
,,,118,3.2592949867248535,0.0,,,,
,,,119,10.009252548217773,0.0,,,,
,,,120,4.908032417297363,0.0,,,,
,,,121,10.244392395019531,0.0,,,,
,,,122,6.500144004821777,0.0,,,,
,,,123,4.603806018829346,0.0,,,,
