train_loss_step,train_r2_step,train_mae_step,epoch,step,val_loss_step,val_r2_step,val_mae_step,val_loss_epoch,val_r2_epoch,val_mae_epoch,train_loss_epoch,train_r2_epoch,train_mae_epoch
0.8751343827568477,-419425.6951654625,0.5605185031890869,0,49,,,,,,,,,
,,,,0,0.8861610240583166,-374937.9909862155,0.6114271879196167,,,,,,
,,,,1,0.8706933558243524,-270482.76441133,0.5936630368232727,,,,,,
,,,,2,0.8573897661391016,-351449.19237180194,0.5873159766197205,,,,,,
,,,,3,0.8568493404710884,-2277472.832859972,0.57862788438797,,,,,,
,,,,4,0.9999999602020775,0.0,0.5818705558776855,,,,,,
,,,,5,0.9999999691611818,0.0,0.5766223073005676,,,,,,
,,,,6,0.99999999267806,0.0,0.5797123908996582,,,,,,
,,,,7,0.9999999833076416,0.0,0.5811508893966675,,,,,,
,,,,8,1.0000000736650199,0.0,0.5803403258323669,,,,,,
,,,,9,1.000000010800151,0.0,0.5880857706069946,,,,,,
,,,,10,0.9477858702475073,-468600.16341300984,0.6041793823242188,,,,,,
,,,,11,0.8410090069526247,-271613.46206395765,0.5937517285346985,,,,,,
,,,,12,0.8741242639618618,-351570.00878842274,0.5865041613578796,,,,,,
,,,,13,0.8411918320319149,-2156965.3045044895,0.5828317999839783,,,,,,
,,,,14,1.0000000284336077,0.0,0.5838037729263306,,,,,,
,,,,15,0.9371916593224271,-514449.2996589184,0.5933085680007935,,,,,,
,,,,16,0.8349074943160477,-292260.9296935166,0.5986402034759521,,,,,,
,,,,17,0.9021111792016954,-2097674.199192205,0.5832564234733582,,,,,,
,,,,18,0.883904070708552,-524152.5027260961,0.5805321931838989,,,,,,
,,,,19,0.8306343478711383,-258512.5871541144,0.5966917276382446,,,,,,
,,,,20,0.8082371880926656,-278518.75855264807,0.5868353843688965,,,,,,
,,,,21,0.841080331822826,-2147459.789409895,0.5815556049346924,,,,,,
,,,,22,0.8655352551392884,-275720.3060203349,0.58800208568573,,,,,,
,,,,23,0.8916977021329391,-655144.6585040254,0.5896443128585815,,,,,,
,,,,24,0.8761470840789979,-1558299.869745446,0.5825133323669434,,,,,,
,,,,25,0.905508705575905,-247187.05242587865,0.589733898639679,,,,,,
,,,,26,0.758769613345649,-575498.2920440199,0.5945858955383301,,,,,,
