train_loss_step,train_r2_step,train_mae_step,epoch,step,val_loss_step,val_r2_step,val_mae_step,val_loss_epoch,val_r2_epoch,val_mae_epoch,train_loss_epoch,train_r2_epoch,train_mae_epoch
0.9999999540898016,-299454.3423349078,0.21906356513500214,0,49,,,,,,,,,
,,,,0,1.0000000059700194,-711166.8457759562,0.25147369503974915,,,,,,
,,,,1,0.9999999677646453,-366899.2273716602,0.24537412822246552,,,,,,
,,,,2,0.9999999721946852,-771377.6157536866,0.24615605175495148,,,,,,
,,,,3,1.000000057419615,-795673.306391913,0.24496333301067352,,,,,,
,,,,4,0.9999999805083352,0.0,0.24074706435203552,,,,,,
,,,,5,0.9999999838285776,0.0,0.23971402645111084,,,,,,
,,,,6,1.0000000193666585,0.0,0.24082963168621063,,,,,,
,,,,7,0.9999999625828045,0.0,0.23965288698673248,,,,,,
,,,,8,1.0000000419628399,0.0,0.24333909153938293,,,,,,
,,,,9,1.0000000520350447,0.0,0.24007968604564667,,,,,,
,,,,10,0.9999999995690514,-325116.4302971174,0.24836179614067078,,,,,,
,,,,11,1.0000000574826415,-803514.6593168341,0.24978013336658478,,,,,,
,,,,12,1.0000000098705062,-451075.71895427717,0.24476929008960724,,,,,,
,,,,13,0.9999999994882621,-369856.8279179709,0.24376001954078674,,,,,,
,,,,14,0.9999999758049888,-814401.6601689304,0.2417963594198227,,,,,,
,,,,15,0.9999999646664628,-359307.313304376,0.2494838982820511,,,,,,
,,,,16,0.9999999802896457,-457596.56700895017,0.24638418853282928,,,,,,
,,,,17,1.0000000165385354,-361770.9236046905,0.24429801106452942,,,,,,
,,,,18,1.000000057147294,-347582.8101073209,0.24245969951152802,,,,,,
,,,,19,1.0000000010384718,-461170.69584203535,0.24679899215698242,,,,,,
,,,,20,1.0000000550520294,-776041.8588908574,0.24615222215652466,,,,,,
,,,,21,1.0000000025053164,-463887.61381267157,0.244883194565773,,,,,,
,,,,22,1.000000025413453,-362189.4147501813,0.24415762722492218,,,,,,
,,,,23,0.9999999237688271,-789998.6905412333,0.24782438576221466,,,,,,
,,,,24,1.0000000618211706,-339384.560833956,0.2430282086133957,,,,,,
,,,,25,0.9999999787931204,-805436.7651842446,0.24772119522094727,,,,,,
,,,,26,1.0000000105094886,-459223.03386046574,0.24606184661388397,,,,,,
,,,,27,1.0000000271215783,-451875.71058907174,0.245076522231102,,,,,,
