train_loss_step,train_mcc_step,train_acc_step,train_precision_step,train_recall_step,epoch,step,val_loss_step,val_mcc_step,val_acc_step,val_precision_step,val_recall_step,val_loss_epoch,val_mcc_epoch,val_acc_epoch,val_precision_epoch,val_recall_epoch,train_loss_epoch,train_mcc_epoch,train_acc_epoch,train_precision_epoch,train_recall_epoch
0.5803730487823486,0.1428571492433548,0.25,1.0,0.1428571492433548,0,49,,,,,,,,,,,,,,,
,,,,,,0,0.5710506439208984,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,1,0.6726510524749756,0.0,0.625,0.625,1.0,,,,,,,,,,
,,,,,,2,0.3607395887374878,0.0,1.0,1.0,1.0,,,,,,,,,,
,,,,,,3,0.5690544843673706,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,4,0.5692678093910217,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,5,0.673311710357666,0.0,0.625,0.625,1.0,,,,,,,,,,
,,,,,,6,1.193290114402771,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,7,1.1930346488952637,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,8,1.1932213306427002,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,9,1.1940568685531616,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,10,1.193669319152832,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,11,1.192397117614746,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,12,1.1931188106536865,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,13,0.6754163503646851,0.0,0.625,0.625,1.0,,,,,,,,,,
,,,,,,14,0.5699136257171631,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,15,0.4648325741291046,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,16,0.4652143120765686,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,17,0.6734052896499634,0.0,0.625,0.625,1.0,,,,,,,,,,
,,,,,,18,0.569195032119751,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,19,1.1931684017181396,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,20,0.46529537439346313,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,21,0.5689513087272644,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,22,0.4648885428905487,0.0,0.875,0.875,1.0,,,,,,,,,,
,,,,,,23,0.5691097974777222,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,24,0.5692534446716309,0.0,0.75,0.75,1.0,,,,,,,,,,
,,,,,,25,0.6730852127075195,0.0,0.625,0.625,1.0,,,,,,,,,,
,,,,,,26,0.569303035736084,0.0,0.75,0.75,1.0,,,,,,,,,,
