train_loss_step,train_mcc_step,train_acc_step,train_precision_step,train_recall_step,epoch,step,val_loss_step,val_mcc_step,val_acc_step,val_precision_step,val_recall_step,val_loss_epoch,val_mcc_epoch,val_acc_epoch,val_precision_epoch,val_recall_epoch,train_loss_epoch,train_mcc_epoch,train_acc_epoch,train_precision_epoch,train_recall_epoch
0.703540563583374,0.0,0.5,0.0,0.0,0,49,,,,,,,,,,,,,,,
0.6722426414489746,-0.29276999831199646,0.5,0.0,0.0,0,99,,,,,,,,,,,,,,,
,,,,,,0,0.6594663262367249,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,1,0.47967809438705444,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,2,0.7226519584655762,0.0,0.5,0.0,0.0,,,,,,,,,,
,,,,,,3,0.541504979133606,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,4,0.5404371023178101,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,5,0.6615464687347412,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,6,0.6610494256019592,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,7,0.6003942489624023,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,8,0.9645832777023315,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,9,0.9651505947113037,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,10,0.9644918441772461,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,11,0.9650759696960449,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,12,0.9648131728172302,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,13,0.9650980234146118,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,14,0.9646705985069275,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,15,0.9648903608322144,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,16,0.9648832082748413,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,17,0.9644198417663574,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,18,0.964234471321106,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,19,0.9649683237075806,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,20,0.9653664827346802,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,21,0.9634055495262146,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,22,0.4824698567390442,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,23,0.6013598442077637,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,24,0.6025322079658508,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,25,0.6012168526649475,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,26,0.601015031337738,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,27,0.6614737510681152,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,28,0.5399618744850159,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,29,0.8422533869743347,0.0,0.75,0.0,0.0,,,,,,,,,,
,,,,,,30,0.9648924469947815,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,31,0.782648503780365,0.48795002698898315,0.75,1.0,0.3333333432674408,,,,,,,,,,
,,,,,,32,0.6019873023033142,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,33,0.6017687320709229,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,34,0.6015174984931946,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,35,0.600995659828186,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,36,0.6614959239959717,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,37,0.5399680137634277,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,38,0.7831404209136963,0.0,0.625,0.0,0.0,,,,,,,,,,
,,,,,,39,0.6619691848754883,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,40,0.6019364595413208,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,41,0.6010401248931885,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,42,0.6009455919265747,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,43,0.6605952978134155,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,44,0.5398697853088379,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,45,0.6615194082260132,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,46,0.7222621440887451,0.0,0.5,0.0,0.0,,,,,,,,,,
,,,,,,47,0.5414078831672668,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,48,0.5404293537139893,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,49,0.6616721749305725,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,50,0.6611669063568115,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,51,0.6008819937705994,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,52,0.7229393720626831,0.0,0.5,0.0,0.0,,,,,,,,,,
,,,,,,53,0.6017380356788635,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,54,0.5407075881958008,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,55,0.6615132689476013,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,56,0.6005450487136841,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,57,0.5396844148635864,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,58,0.7229232788085938,0.0,0.5,0.0,0.0,,,,,,,,,,
,,,,,,59,0.6013928651809692,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,60,0.6014795899391174,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,61,0.6010994911193848,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,62,0.6614840030670166,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,63,0.5397107601165771,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,64,0.6629582643508911,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,65,0.6618729829788208,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,66,0.5406692624092102,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,67,0.5403793454170227,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,68,0.6613839864730835,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,69,0.6609574556350708,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,70,0.601081132888794,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,71,0.7221198678016663,0.0,0.5,0.0,0.0,,,,,,,,,,
,,,,,,72,0.5406198501586914,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,73,0.6617640256881714,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,74,0.7827582359313965,0.0,0.625,0.0,0.0,,,,,,,,,,
,,,,,,75,0.6004387140274048,0.0,0.25,0.0,0.0,,,,,,,,,,
,,,,,,76,0.9034037590026855,1.0,1.0,1.0,1.0,,,,,,,,,,
,,,,,,77,0.9034960269927979,0.0,0.875,0.0,0.0,,,,,,,,,,
,,,,,,78,0.7222356200218201,0.0,0.5,0.0,0.0,,,,,,,,,,
,,,,,0,122,,,,,,0.6968884468078613,0.018894603475928307,0.45079365372657776,0.02539682574570179,0.016931217163801193,,,,,
,,,,,0,122,,,,,,,,,,,0.7124050259590149,-0.003147308249026537,0.5111788511276245,0.3792392313480377,0.44182148575782776
0.5587313771247864,0.0,0.75,0.75,1.0,1,149,,,,,,,,,,,,,,,
0.8457801342010498,0.0,0.5,0.5,1.0,1,199,,,,,,,,,,,,,,,
,,,,,,79,0.6748969554901123,0.0,0.375,0.0,0.0,,,,,,,,,,
,,,,,,80,0.6119480133056641,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,81,0.6966871023178101,0.0,0.5,0.0,0.0,,,,,,,,,,
,,,,,,82,0.633887529373169,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,83,0.6332555413246155,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,84,0.675593376159668,0.0,0.375,0.0,0.0,,,,,,,,,,
