train_loss_step,train_is_next_axx_step,train_altered_acc_step,epoch,step,val_loss_step,val_is_next_axx_step,val_altered_acc_step,val_loss_epoch,val_is_next_axx_epoch,val_altered_acc_epoch,train_loss_epoch,train_is_next_axx_epoch,train_altered_acc_epoch,test_loss_step,test_is_next_axx_step,test_altered_acc_step,test_loss_epoch,test_is_next_axx_epoch,test_altered_acc_epoch
,,,,97,1.3029030561447144,62.5,57.5439453125,,,,,,,,,,,,
,,,,98,1.369714617729187,50.0,57.12890625,,,,,,,,,,,,
,,,,99,1.5053303241729736,25.0,57.12890625,,,,,,,,,,,,
,,,,100,1.238914132118225,75.0,56.982421875,,,,,,,,,,,,
,,,,101,1.3074768781661987,62.5,57.1044921875,,,,,,,,,,,,
,,,,102,1.3062928915023804,62.5,57.0068359375,,,,,,,,,,,,
,,,,103,1.4258582592010498,37.5,57.080078125,,,,,,,,,,,,
,,,,104,1.2410049438476562,75.0,57.0068359375,,,,,,,,,,,,
,,,,105,1.3036143779754639,62.5,57.421875,,,,,,,,,,,,
,,,,106,1.5028553009033203,25.0,57.0068359375,,,,,,,,,,,,
,,,,107,1.378633737564087,50.0,57.421875,,,,,,,,,,,,
,,,,108,1.445465087890625,37.5,57.2265625,,,,,,,,,,,,
,,,,109,1.4419844150543213,37.5,56.93359375,,,,,,,,,,,,
,,,,110,1.4393126964569092,37.5,57.2509765625,,,,,,,,,,,,
,,,,111,1.5754780769348145,12.5,56.884765625,,,,,,,,,,,,
,,,,112,1.504115343093872,25.0,57.12890625,,,,,,,,,,,,
,,,,113,1.3077123165130615,62.5,57.2021484375,,,,,,,,,,,,
,,,,114,1.3695807456970215,50.0,57.177734375,,,,,,,,,,,,
,,,,115,1.372023582458496,50.0,57.2509765625,,,,,,,,,,,,
,,,,116,1.3757994174957275,50.0,56.9580078125,,,,,,,,,,,,
,,,,117,1.3802697658538818,50.0,56.93359375,,,,,,,,,,,,
,,,,118,1.236170768737793,75.0,57.275390625,,,,,,,,,,,,
,,,,119,1.307979941368103,62.5,56.93359375,,,,,,,,,,,,
,,,,120,1.3098170757293701,62.5,57.2265625,,,,,,,,,,,,
,,,,121,1.308551549911499,62.5,57.275390625,,,,,,,,,,,,
,,,,122,1.3709027767181396,50.0,57.080078125,,,,,,,,,,,,
,,,,123,1.376598596572876,50.0,56.982421875,,,,,,,,,,,,
,,,,124,1.3030619621276855,62.5,56.93359375,,,,,,,,,,,,
,,,,125,1.308095932006836,62.5,57.2265625,,,,,,,,,,,,
,,,,126,1.3059356212615967,62.5,57.3486328125,,,,,,,,,,,,
,,,,127,1.298557162284851,62.5,57.3486328125,,,,,,,,,,,,
,,,,128,1.3740497827529907,50.0,57.177734375,,,,,,,,,,,,
,,,,129,1.3754639625549316,50.0,57.2021484375,,,,,,,,,,,,
,,,,130,1.3711166381835938,50.0,57.2265625,,,,,,,,,,,,
,,,,131,1.4341821670532227,37.5,57.2021484375,,,,,,,,,,,,
,,,,132,1.2444782257080078,75.0,57.03125,,,,,,,,,,,,
,,,,133,1.3049430847167969,62.5,57.12890625,,,,,,,,,,,,
,,,,134,1.3740798234939575,50.0,56.982421875,,,,,,,,,,,,
,,,,135,1.3089021444320679,62.5,57.3486328125,,,,,,,,,,,,
,,,,136,1.4386519193649292,37.5,56.982421875,,,,,,,,,,,,
,,,,137,1.5096948146820068,25.0,57.1044921875,,,,,,,,,,,,
,,,,138,1.3728506565093994,50.0,57.1533203125,,,,,,,,,,,,
,,,,139,1.3723924160003662,50.0,56.982421875,,,,,,,,,,,,
,,,,140,1.3694692850112915,50.0,57.1044921875,,,,,,,,,,,,
,,,,141,1.5073280334472656,25.0,57.275390625,,,,,,,,,,,,
,,,,142,1.501359224319458,25.0,57.2998046875,,,,,,,,,,,,
,,,,143,1.3832670450210571,50.0,57.12890625,,,,,,,,,,,,
,,,,144,1.3715324401855469,50.0,57.275390625,,,,,,,,,,,,
,,,,145,1.308261752128601,62.5,57.080078125,,,,,,,,,,,,
,,,,146,1.3763165473937988,50.0,56.9580078125,,,,,,,,,,,,
,,,,147,1.4345725774765015,37.5,57.1044921875,,,,,,,,,,,,
,,,,148,1.3714685440063477,50.0,57.2509765625,,,,,,,,,,,,
,,,,149,1.3145849704742432,62.5,57.12890625,,,,,,,,,,,,
,,,,150,1.3718756437301636,50.0,56.787109375,,,,,,,,,,,,
,,,,151,1.3702157735824585,50.0,57.3486328125,,,,,,,,,,,,
,,,,152,1.4348582029342651,37.5,56.93359375,,,,,,,,,,,,
,,,,153,1.5663228034973145,12.5,57.2021484375,,,,,,,,,,,,
,,,,154,1.4332964420318604,37.5,57.0068359375,,,,,,,,,,,,
,,,,155,1.3132970333099365,62.5,57.32421875,,,,,,,,,,,,
,,,,156,1.3093769550323486,62.5,57.12890625,,,,,,,,,,,,
,,,,157,1.372215747833252,50.0,56.93359375,,,,,,,,,,,,
,,,,158,1.369301199913025,50.0,57.1044921875,,,,,,,,,,,,
,,,,159,1.3766825199127197,50.0,57.12890625,,,,,,,,,,,,
,,,,160,1.4386322498321533,37.5,56.982421875,,,,,,,,,,,,
,,,,161,1.4419422149658203,37.5,56.93359375,,,,,,,,,,,,
,,,,162,1.4353883266448975,37.5,57.12890625,,,,,,,,,,,,
,,,,163,1.2425202131271362,75.0,57.2998046875,,,,,,,,,,,,
,,,,164,1.5031437873840332,25.0,56.9580078125,,,,,,,,,,,,
,,,,165,1.411588191986084,40.0,60.507816314697266,,,,,,,,,,,,
,,,1,241,,,,1.3795387744903564,48.71406936645508,57.148555755615234,,,,,,,,,
,,,1,241,,,,,,,1.4707612991333008,49.43123245239258,56.98176574707031,,,,,,
1.4460532665252686,37.5,59.1796875,2,249,,,,,,,,,,,,,,,
1.5549827814102173,12.5,61.03515625,2,299,,,,,,,,,,,,,,,
1.4216361045837402,50.0,68.06640625,2,349,,,,,,,,,,,,,,,
,,,,166,1.8637055158615112,12.5,79.2724609375,,,,,,,,,,,,
,,,,167,1.8746240139007568,12.5,91.3330078125,,,,,,,,,,,,
,,,,168,1.5587570667266846,37.5,90.087890625,,,,,,,,,,,,
,,,,169,1.553648829460144,37.5,81.34765625,,,,,,,,,,,,
,,,,170,1.2539031505584717,62.5,73.583984375,,,,,,,,,,,,
,,,,171,1.5639725923538208,37.5,97.0703125,,,,,,,,,,,,
,,,,172,1.880111813545227,12.5,93.505859375,,,,,,,,,,,,
,,,,173,1.7173514366149902,25.0,60.7666015625,,,,,,,,,,,,
,,,,174,1.855480432510376,12.5,78.076171875,,,,,,,,,,,,
,,,,175,1.4083664417266846,50.0,98.2666015625,,,,,,,,,,,,
,,,,176,1.4201817512512207,50.0,82.2509765625,,,,,,,,,,,,
,,,,177,1.4046518802642822,50.0,92.919921875,,,,,,,,,,,,
,,,,178,1.0718059539794922,75.0,100.0,,,,,,,,,,,,
,,,,179,1.574759840965271,37.5,68.408203125,,,,,,,,,,,,
,,,,180,1.5963423252105713,37.5,65.087890625,,,,,,,,,,,,
,,,,181,1.5535805225372314,37.5,94.921875,,,,,,,,,,,,
,,,,182,1.3861075639724731,50.0,93.798828125,,,,,,,,,,,,
,,,,183,1.5542742013931274,37.5,99.9267578125,,,,,,,,,,,,
,,,,184,1.263088345527649,62.5,59.8876953125,,,,,,,,,,,,
,,,,185,1.4069631099700928,50.0,74.3408203125,,,,,,,,,,,,
,,,,186,1.560253620147705,37.5,75.1220703125,,,,,,,,,,,,
,,,,187,0.9531733989715576,87.5,71.19140625,,,,,,,,,,,,
,,,,188,1.0907409191131592,75.0,85.3271484375,,,,,,,,,,,,
,,,,189,1.5517218112945557,37.5,82.958984375,,,,,,,,,,,,
,,,,190,1.4093248844146729,50.0,81.25,,,,,,,,,,,,
,,,,191,1.5619723796844482,37.5,86.181640625,,,,,,,,,,,,
,,,,192,1.0836892127990723,75.0,74.4140625,,,,,,,,,,,,
,,,,193,1.3985834121704102,50.0,67.919921875,,,,,,,,,,,,
,,,,194,1.2464673519134521,62.5,84.2041015625,,,,,,,,,,,,
,,,,195,1.2456225156784058,62.5,84.1552734375,,,,,,,,,,,,
,,,,196,1.7215685844421387,25.0,89.2578125,,,,,,,,,,,,
,,,,197,1.5728399753570557,37.5,75.09765625,,,,,,,,,,,,
