train_loss_step,train_r2_step,train_mae_step,epoch,step,val_loss_step,val_r2_step,val_mae_step,val_loss_epoch,val_r2_epoch,val_mae_epoch,train_loss_epoch,train_r2_epoch,train_mae_epoch
0.033037583626420314,-115162.0093600295,0.1444750428199768,0,49,,,,,,,,,
0.0184306358907131,-61315.27974164248,0.10688363015651703,0,99,,,,,,,,,
,,,,0,0.011824185490470585,-108396.99935589569,0.07287697494029999,,,,,,
,,,,1,0.007590980500371363,-29802.02797113025,0.06634321808815002,,,,,,
,,,,2,0.010285911739927172,-27168.57391963934,0.06921426206827164,,,,,,
,,,,3,0.008350722708272345,-62133.80269424375,0.06748569756746292,,,,,,
,,,,4,0.00822307108561689,-61864.55751537727,0.0672725960612297,,,,,,
,,,,5,0.009612587434628474,-29176.219804882447,0.068704754114151,,,,,,
,,,,6,0.009659225196147899,-29719.973649206346,0.06870398670434952,,,,,,
,,,,7,0.010173602115199666,-27684.15312568766,0.06895119696855545,,,,,,
,,,,8,0.012751201331784487,0.0,0.07202193886041641,,,,,,
,,,,9,0.012746312962804608,0.0,0.07198099046945572,,,,,,
,,,,10,0.012749808508997032,0.0,0.07200901955366135,,,,,,
,,,,11,0.012744972889199957,0.0,0.07196871936321259,,,,,,
,,,,12,0.012752866487206669,0.0,0.0720297247171402,,,,,,
,,,,13,0.012748241256354362,0.0,0.07199445366859436,,,,,,
,,,,14,0.012745935864454445,0.0,0.0719737783074379,,,,,,
,,,,15,0.012752085971384344,0.0,0.07203210145235062,,,,,,
,,,,16,0.01275069111255912,0.0,0.07201367616653442,,,,,,
,,,,17,0.01274733780235597,0.0,0.07198431342840195,,,,,,
,,,,18,0.01274717183131218,0.0,0.07198803126811981,,,,,,
,,,,19,0.012745676587127885,0.0,0.07197530567646027,,,,,,
,,,,20,0.012742377350344006,0.0,0.07194577157497406,,,,,,
,,,,21,0.01042707442911174,-31344.6607844417,0.07024478912353516,,,,,,
,,,,22,0.007578429958060016,-29866.41459382437,0.06627917289733887,,,,,,
,,,,23,0.01028880417875061,-27178.555386837987,0.06923580914735794,,,,,,
,,,,24,0.008354641095841307,-62166.677138304934,0.06751112639904022,,,,,,
,,,,25,0.008222119537352314,-61856.20582478602,0.06726190447807312,,,,,,
,,,,26,0.009613107535888192,-29178.687031089183,0.06870942562818527,,,,,,
,,,,27,0.009660096442587043,-29723.25511400525,0.06871375441551208,,,,,,
,,,,28,0.010180680421607273,-27710.087245887633,0.06901367753744125,,,,,,
,,,,29,0.012740664791342313,0.0,0.07193581014871597,,,,,,
,,,,30,0.012154515250163167,-62545.09737295138,0.07125914096832275,,,,,,
,,,,31,0.007597215951125238,-29769.364711997674,0.06642446666955948,,,,,,
,,,,32,0.010291981850975374,-27190.512926942887,0.06926390528678894,,,,,,
,,,,33,0.008352048676323632,-62139.088107066375,0.06748750805854797,,,,,,
,,,,34,0.008197615969285492,-61891.854326264474,0.06729481369256973,,,,,,
,,,,35,0.009612832207619123,-29177.072031932636,0.06870666146278381,,,,,,
,,,,36,0.009662024450704182,-29730.132647484046,0.0687294453382492,,,,,,
,,,,37,0.010169736556505148,-27672.11346288786,0.06892246007919312,,,,,,
,,,,38,0.008945646830796326,-35574.935134131316,0.06762111186981201,,,,,,
,,,,39,0.010283067045506002,-27184.66589916976,0.06924981623888016,,,,,,
,,,,40,0.008369842639909779,-62177.56329099621,0.06750761717557907,,,,,,
,,,,41,0.00818700909484334,-61840.94455734489,0.06725288182497025,,,,,,
,,,,42,0.009607791886769385,-29095.880393179144,0.06869304180145264,,,,,,
,,,,43,0.009664133080168157,-29708.819408314117,0.06871146708726883,,,,,,
,,,,44,0.00953545671122369,-29514.93168633488,0.06827356666326523,,,,,,
,,,,45,0.008962536236149603,-36677.87925618894,0.0678507462143898,,,,,,
,,,,46,0.009059292488246475,-36425.86411217497,0.06816763430833817,,,,,,
,,,,47,0.008924772981670067,-36131.882541642044,0.06792832911014557,,,,,,
,,,,48,0.009601061822194596,-28987.456740614085,0.06861576437950134,,,,,,
,,,,49,0.008963675276388744,-37015.75320146047,0.06809671223163605,,,,,,
,,,,50,0.0096054509701906,-29569.765611350424,0.06849534809589386,,,,,,
,,,,51,0.008952210051691027,-36724.82589842738,0.06786226481199265,,,,,,
,,,,52,0.009652685625136713,-29005.315884947056,0.06862274557352066,,,,,,
