train_loss_step,train_is_next_axx_step,train_altered_acc_step,epoch,step,train_loss_epoch,train_is_next_axx_epoch,train_altered_acc_epoch
1.310142993927002,68.75,51.55029296875,0,49,,,
,,,0,81,1.4469318389892578,50.775508880615234,52.04958724975586
1.4270483255386353,60.000003814697266,53.554691314697266,1,99,,,
1.476879358291626,33.333335876464844,54.335941314697266,1,149,,,
,,,1,163,1.4921079874038696,48.979591369628906,53.756378173828125
1.4939374923706055,40.000003814697266,56.380210876464844,2,199,,,
,,,2,245,1.4052469730377197,53.06122589111328,56.03013229370117
1.3531500101089478,53.333335876464844,57.91667175292969,3,249,,,
1.28054940700531,69.23077392578125,61.43329620361328,3,299,,,
,,,3,327,1.4111565351486206,48.81632614135742,61.96316909790039
1.3388395309448242,57.142860412597656,70.00558471679688,4,349,,,
1.327605962753296,42.857147216796875,76.8136215209961,4,399,,,
,,,4,409,1.3479180335998535,48.979591369628906,69.74139404296875
1.24082350730896,20.000001907348633,79.08854675292969,5,449,,,
,,,5,491,1.2481718063354492,52.48979568481445,77.86351776123047
1.1502830982208252,56.25,84.33837890625,6,499,,,
0.8398879766464233,80.00000762939453,85.54688262939453,6,549,,,
,,,6,573,1.094248652458191,50.448978424072266,85.19754791259766
0.8986362218856812,62.5,88.43994140625,7,599,,,
1.1185801029205322,56.25,89.27001953125,7,649,,,
,,,7,655,1.0693145990371704,49.14285659790039,88.78204345703125
0.9593946933746338,60.000003814697266,90.26042175292969,8,699,,,
,,,8,737,1.0888665914535522,49.306121826171875,89.23963928222656
0.8950239419937134,76.92308044433594,90.68509674072266,9,749,,,
0.9536398649215698,60.000003814697266,91.61458587646484,9,799,,,
,,,9,819,0.9927667379379272,51.67346954345703,90.99442291259766
0.8955614566802979,60.000003814697266,93.77604675292969,10,849,,,
0.9315638542175293,40.000003814697266,93.85417175292969,10,899,,,
,,,10,901,0.9366000890731812,51.1020393371582,93.5546875
0.9833725690841675,33.333335876464844,94.8828125,11,949,,,
,,,11,983,0.9202112555503845,50.693878173828125,94.38711547851562
0.9291320443153381,64.28572082519531,94.01507568359375,12,999,,,
1.0523735284805298,40.000003814697266,93.80208587646484,12,1049,,,
