train_loss_step,epoch,step,val_loss_step,val_loss_epoch,val_r2,train_loss_epoch,train_r2
1.7112698554992676,0,49,,,,,
0.2438441514968872,0,99,,,,,
,,0,50.71844482421875,,,,
,,1,50.71844482421875,,,,
,,2,50.718441009521484,,,,
,,3,50.71844482421875,,,,
,,4,50.71843719482422,,,,
,,5,50.71843719482422,,,,
,,6,50.7197380065918,,,,
,,7,50.720069885253906,,,,
,,8,50.71844482421875,,,,
,,9,50.718441009521484,,,,
,,10,50.71843719482422,,,,
,,11,50.718441009521484,,,,
,,12,50.718441009521484,,,,
,,13,50.71843719482422,,,,
,,14,50.71844482421875,,,,
,,15,50.718441009521484,,,,
,,16,50.71843338012695,,,,
,,17,50.71843719482422,,,,
,,18,50.71844482421875,,,,
,,19,50.71843719482422,,,,
,,20,50.71844482421875,,,,
,,21,50.71844482421875,,,,
,,22,50.71844482421875,,,,
,,23,50.71843719482422,,,,
,,24,50.71844482421875,,,,
,,25,50.71843719482422,,,,
,,26,50.71843719482422,,,,
,,27,50.7197380065918,,,,
,,28,50.720069885253906,,,,
,,29,50.71843338012695,,,,
,,30,50.718441009521484,,,,
,,31,50.71843719482422,,,,
,,32,50.71843719482422,,,,
,,33,50.718441009521484,,,,
,,34,50.718441009521484,,,,
,,35,50.71843719482422,,,,
,,36,50.71843719482422,,,,
,,37,50.72136306762695,,,,
,,38,50.71843719482422,,,,
,,39,50.71843719482422,,,,
,,40,50.718441009521484,,,,
,,41,50.718441009521484,,,,
,,42,50.71843719482422,,,,
,,43,50.71843719482422,,,,
,,44,50.719730377197266,,,,
,,45,50.720062255859375,,,,
,,46,50.718441009521484,,,,
,,47,50.71843719482422,,,,
,,48,50.718441009521484,,,,
,,49,50.718441009521484,,,,
,,50,50.71843719482422,,,,
,,51,50.72136306762695,,,,
,,52,50.718441009521484,,,,
,,53,50.718441009521484,,,,
,,54,50.718441009521484,,,,
,,55,50.71843719482422,,,,
,,56,50.71843719482422,,,,
,,57,50.71974182128906,,,,
,,58,50.720069885253906,,,,
,,59,50.718441009521484,,,,
,,60,50.718441009521484,,,,
,,61,50.71843719482422,,,,
,,62,50.71844482421875,,,,
,,63,50.71843338012695,,,,
,,64,50.72136306762695,,,,
